Country,Year,Central Govt Debt (Percentage of GDP),General Govt Debt (Percentage of GDP),Grant,Loan,Vague,Commercial,Development,Mixed,Representational,ACTION RELATING TO DEBT,"AGRICULTURE, FORESTRY, FISHING",BANKING AND FINANCIAL SERVICES,BUSINESS AND OTHER SERVICES,COMMUNICATIONS,DEVELOPMENTAL FOOD AID/FOOD SECURITY ASSISTANCE,DISASTER PREVENTION AND PREPAREDNESS,EDUCATION,EMERGENCY RESPONSE,ENERGY,GENERAL BUDGET SUPPORT,GENERAL ENVIRONMENTAL PROTECTION,GOVERNMENT AND CIVIL SOCIETY,HEALTH,"INDUSTRY, MINING, CONSTRUCTION",OTHER COMMODITY ASSISTANCE,OTHER MULTISECTOR,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,POPULATION POLICIES/PROGRAMMES AND REPRODUCTIVE HEALTH,RECONSTRUCTION RELIEF AND REHABILITATION,TRADE POLICIES AND REGULATIONS,TRANSPORT AND STORAGE,UNALLOCATED/UNSPECIFIED,WATER SUPPLY AND SANITATION,No,Yes,Adjusted Amount (Nominal USD)
AF,2000,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,50000000.0
AL,2000,63.37646291,63.76868358,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,120000000.0
DZ,2000,57.96034348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,2000,133.9141396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,2000,105.1323732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,2000,40.83283885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,2000,39.59711599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,2000,13.69261925,19.51087597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,2000,56.50813833,65.73761835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,2000,22.83718556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS,2000,18.71002972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH,2000,25.74455638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,2000,31.19541407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB,2000,61.27677213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY,2000,10.26155884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE,2000,98.93242737,109.5890411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZ,2000,78.999652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ,2000,39.59194114,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,887842850.0
BT,2000,47.68168045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BO,2000,63.71606435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,2000,34.68628603,34.68628603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW,2000,8.365158704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,2000,62.64567609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,2000,70.72244312,71.50601041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF,2000,47.47999265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI,2000,136.4251126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2000,82.63675912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM,2000,75.88128511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,2000,46.32812903,80.4366085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
